company_name,stage,sector,focus_area,founder_personality_type,annual_revenue,monthly_burn,cash_reserves,team_size,product_maturity_score,market_share_percent,competitive_advantage_score,adaptability_score,investor_quality_score,advisor_network_strength,regulatory_risk_score,technology_risk_score,market_risk_score,exit_valuation
Comp_0,Seed,ClimateTech,Enhance Urban Lifestyle,technical,61090735.24507507,110422.24051253272,13288793.141469201,34,5.047375574610494,14.739750499357555,6.406909692423236,6.277983428546477,6.013891431927336,6.207884762755338,2.0612714946529067,6.405735602755117,4.372074394549102,69363862.15290968
Comp_1,Seed,EdTech,Mitigate Climate Change,executor,83420736.49119858,4257805.992979226,59028285.67728398,62,4.88891473652207,5.283877811267274,5.676567508765677,8.282072428794562,6.089022009437163,4.064831107868419,6.586883784686545,3.8083611379707656,3.015964857387816,1034041817.283983
Comp_2,Seed,FinTech,Enhance Urban Lifestyle,technical,374817796.46285707,6264492.446480724,41401350.568524346,27,5.23387702089462,10.148049151583201,8.260997432535532,6.394516733523951,6.536962933891626,7.8760129064886,4.383843453667635,6.192161642877993,5.461666353878204,3339186121.1762037
Comp_3,Seed,EdTech,General,visionary,140143211.44864485,47750129.17478492,281789734.0685684,56,6.8210352264614,8.364721586359355,8.9303892035873,7.825991262040837,6.876449514967116,6.916411474138227,7.765301748553029,6.982090922526401,3.590104599235177,586033387.7557895
Comp_4,Series A,SaaS,General,visionary,130300253.35386571,9760230.841745792,27752211.119046118,47,8.351311645412181,4.193550236767347,7.802942166124169,7.556663252694641,9.344778995156839,7.8447564201183795,2.6843227702787975,2.2577134795061835,4.411164233856406,11206969.006043298
Comp_5,Series A,HealthTech,Mitigate Climate Change,technical,69313210.17010507,6138940.475972985,12003189.235543817,39,7.711541407275021,14.939502953594491,7.146712779106372,8.906135317200121,7.66357601757341,7.016860951826088,1.555101473815538,3.9011485566727515,1.3114811357342964,48483537.44016905
Comp_6,Seed,SaaS,General,executor,13388960.6394758,1802025.4395940993,22665161.698990367,43,5.403609378901306,5.494604204331701,7.973307599079888,6.8878180772052495,8.22217711230419,5.560358383286238,5.262993890045993,5.03095772380946,7.948970340030037,478949476.93213195
Comp_7,Series A,EdTech,General,technical,26823728.865709484,6567200.763988633,41533608.85320793,36,8.438710316607132,9.747954052471322,9.225154578282034,7.0821510210908505,5.137557878134064,4.70595355976619,6.066943335290249,4.031960551135005,3.302243896594494,503482826.52907825
Comp_8,Seed,HealthTech,Enhance Urban Lifestyle,visionary,93536243.531802,462900.240386614,365349712.8886581,37,8.480596699987998,14.429600217415905,5.061868399497337,9.27361173421933,6.825542593287106,6.7901822062508925,2.6261466579233814,5.80253882611102,5.398689295489718,371377378.62819725
Comp_9,Seed,ClimateTech,Mitigate Climate Change,executor,24037699.254104424,5990214.021272402,19604262.030401945,60,4.601063237536537,4.531027447103819,9.274400890208407,8.863834917582425,8.718066759764202,4.791842488707877,4.955299367666886,4.192811941338966,5.871495874381858,2597667736.0773544
Comp_10,Series A,SaaS,Live Healthy,technical,9196622.562703855,10623316.77377929,18068484.414028656,54,8.243591644767292,8.861692483889252,7.582237446226744,9.07086866913901,6.119790982796314,6.39255847845793,2.0561555357766856,2.1939979838507826,7.548331871170255,207093474.13911155
Comp_11,Seed,FinTech,Live Healthy,visionary,76609962.2788509,4953899.561948223,50327146.905056044,58,7.301756158967327,8.859406959259509,6.551770449179605,8.168619433663672,7.54589722264754,8.008627516004728,3.720368177974318,1.6841827206790017,2.681943421069853,397482043.0134209
Comp_12,Series A,HealthTech,Mitigate Climate Change,technical,82847362.12378916,1383209.8182773658,106331350.95510633,29,5.804298363245396,2.9863711147743146,8.232941696677992,8.46653297014937,6.202671940227118,5.891114165310554,1.452588321868584,3.495150200113782,5.804637524852206,787864953.0255231
Comp_13,Series A,HealthTech,Enhance Urban Lifestyle,executor,1224253639.2268624,9906456.377641946,44937133.31959492,79,4.329096329580192,7.967592405096062,6.105368734669559,7.54016000772637,8.670087864671356,5.161566237544298,1.8394592299272285,1.644721361042186,5.77678296849786,7436212218.815951
Comp_14,Series A,FinTech,Mitigate Climate Change,executor,97783013.71420467,103848385.98238231,21464479.435931697,77,4.028476701847641,1.2161226575014248,8.553287112158593,6.437911139913832,7.4885294829546485,6.5928481209758445,2.573696126611945,4.6573771839423985,5.707586022774779,99864804.68616489
Comp_15,Seed,EdTech,Enhance Urban Lifestyle,technical,361963530.0948746,23917263.741635732,6451641.26207312,73,4.639658641120039,12.034462370487965,8.838363757021785,8.538223050165087,6.816537953000334,5.011769813942318,1.2928031391099442,4.159154139139859,7.0684836452581195,753452399.2324681
